tolerance,   1.0000000000E-05
i14611,   1.0000000000E+00
i14612, 0.00              
i14613, 0.00              
i14614,   1.0000000000E+00
i14615, 0.00              
i14616,   2.0000000000E+00
i14617, 0.00              
i14618,   2.0000000000E+00
i14619, 0.00              
i14620,   2.0000000000E+00
i14621, 0.00              
i14622,   2.0000000000E+00
s_for_i1, 0.00              
st_of_i1,   1.0000000000E+00
i14623,   3.0000000000E+00
i14624,   3.0000000000E+00
s_for_i3, 0.00              
st_of_i3,   2.0000000000E+00
i14625, 0.00              
i14626,   1.0000000000E+00
i14627,   1.0000000000E+00
s_for_i2, 0.00              
st_of_i2,   2.0000000000E+00
i14628, 0.00              
i14629,   1.0000000000E+00
i14630, 0.00              
i14631,   1.0000000000E+00
ss_c_c1_t_1, 0.00              
i14632,   1.0000000000E+00
i14633,   3.1000000000E+01
i14634, 0.00              
i14635,   5.0000000000E+00
i14636,   1.0000000000E+00
i14637, 0.00              
i14638, 0.00              
i14639,   1.4000000000E+01
i14640,   1.0000000000E+00
i14641, 0.00              
i14642, 0.00              
i14643, 0.00              
ss_c_c1_t_2, 0.00              
i14644,   1.0000000000E+00
i14645, 0.00              
i14646, 0.00              
i14647, 0.00              
i14648,   1.0000000000E+00
i14649,   5.0000000000E+00
i14650, 0.00              
i14651, 0.00              
i14652,   1.0000000000E+00
i14653,   1.4000000000E+01
i14654, 0.00              
i14655, 0.00              
ss_c_c1_t_3, 0.00              
i14656,   1.0000000000E+00
i14657,   8.0000000000E+00
i14658, 0.00              
i14659, 0.00              
i14660,   1.0000000000E+00
i14661, 0.00              
i14662, 0.00              
i14663, 0.00              
i14664,   1.0000000000E+00
i14665, 0.00              
i14666, 0.00              
i14667,   1.4000000000E+01
i14668,   7.0000000000E+00
i14669,   4.0000000000E+00
i14670,   8.0000000000E+00
i14671,   9.0000000000E+00
i14672,   2.2000000000E+01
i14673,   1.6000000000E+01
i14674,   1.0000000000E+00
i14675,   4.0000000000E+00
i14676,   4.0000000000E+00
i14677, 0.00              
i14678, 0.00              
i14679, 0.00              
